柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
攝取	shèqŭ	ingest	他們吃飯的碟子比較小,所以每次用餐攝取的卡路里也就較少
修養	xiūyăng	self-cultivation	說，＂起來！有點文化修養！＂這會使你覺得更糟。
滿懷	mănhuái	Full	恐懼讓我們登上了月球。我們當時是滿懷恐懼的與蘇聯在進行
罪行	zuìxíng	crime	他們的挑戰是「我該如何做才能排除成為組織化犯罪行為下的詐欺工具？」
車廂	chēxiāng	carriage	所有的家長都坐在停車場吃從後車廂拿出來的食物 -- 只有英國人 -- 吃臘腸。他們好愛吃臘腸（笑聲）
碩士	shuòshì	Master	所以，我最終沒有投身醫學，而決定申請藝術碩士學位
獎勵	jiănglì	reward	克：不妨想成是，上天真的保佑了女王，所以你得到了應有的獎勵。
彌補	míbŭ	make up for	像是我們真的有辦法遮蔽陽光，有效彌補大氣中過多的二氧化碳，
佇立	zhùlì	Stand	我們以為只要佇立在一個孤獨之處
默默	mòmò	silently	不再只是個默默無名的事件，而是一個全球化的事件
依舊	yījiù	Still	能在未來成為超級種族嗎？(一小時後 超級鼠耐力依舊...)
不禁	bùjìn	I can’t help it	它的結構，不禁要問，它是如何構建的？按照甚麼樣的規律？
腳本	jiăoběn	script	最後我們就能和那些業餘演員合作，撰寫新的喜劇腳本。
深奧	shēnào	abstruse	因為這些事務中都包含一個深奧的道德,所以不平凡.(一花一世界）
借貸	jièdài	Borrowing	那裡的確是有鄉村銀行和小額借貸這些機構，
席位	xíwèi	seat	祆教徒與基督教徒都有保留席位
印證	yìnzhèng	Confirmed	都在令人驚歎的榮耀中得到印證 這時祭司說:
調	diào	move	萬保龍先生在幾年前已退休了（譯註：萬寶龍曾在廣告中以牛仔強調自家商品的男子氣概）
嫌疑	xiányí	suspicion	它在可疑的時間通過，就為了放走一些嫌疑犯。(笑聲)
拒	jù	refuse	當一個女人起身而說：「不，我不會坐到公車後頭」（譯按：指黑人女性拒絕移坐而引起種族意識抬頭的故事）
特區	tèqū	Sar	在一個禮拜後，我受邀參加一個在華盛頓特區的晚宴
節儉	jiéjiăn	frugal	凱恩斯把這稱為“節儉的矛盾”
防衛	fángwèi	Defense	這就是你內建的防衛機制，微小的難以察覺。
貴賓	guìbīn	VIP	這個人必須去簽條約和接見外國貴賓
邁進	màijìn	progress	他們比較開心 他們得到成就感 他們有朝目標邁進和掌握情況的感覺
充裕	chōngyù	abundant	我們的頭頂還有很充裕的空間,背後也有充裕的空間
峭壁	qiàobì	cliff	這裡本身就是一個超漂亮的小天地，四周被峭壁環繞著
效勞	xiàoláo	Service	第五，要看起來很凌亂，這我們很願意效勞
偷渡	tōudù	Sneaking	從阿拉伯偷渡至安達魯西亞，安全保存兩百年。
狹窄	xiázhăi	narrow	我們稱之為在全球範圍內的分散，通過最狹窄的大陸鏈接地帶。
設施	shèshī	facility	佔地三十萬平方公尺，有二十個遊樂設施，裡面包含所有角色。
凝固	nínggù	congeal	卻發現裡面的水居然已經結冰凝固了！
疼愛	téngài	love dearly	然後疼愛牠，這樣牠們就不會絕種了是嗎？
階級	jiējí	class	現在的組織多是層層相叠而不再階級分明。這有一點奇怪。
火力	huǒlì	firepower	進而達到跟火力 天然氣 及核能一樣可以持續供電
風力	fēnglì	wind power	男人: 未來就在我們眼前. 風力,太陽能,一個全新的能源網
預約	yùyuē	booking	會員則可以預約我們的車子，以小時或天數計算，而不需要自己買車。
孔	kǒng	hole	如果你想要引用湯瑪斯•孔恩的說法，我們處在一個前典範的時代。
講座	jiăngzuò	lecture	就在講座結束的時候，我會問，”有多少人找到自己的名字？“
吊橋	diàoqiáo	drawbridge	它有著像一座美麗的吊橋那樣發達的系統。
經書	jīngshū	Scriptures	這部經書是古印度的作品，
恰恰	qiàqià	Exactly	恰恰為我們提供了一個方便的類比以闡明我們處理同情的方法——
根源	gēnyuán	root	“我們覺得非洲只有黑色，根源是我們的無知”
接洽	jiēqià	consult with	但是，負責接洽的公務員就是不給她許可，
推出	tuīchū	launch	這項服務剛推出不到幾個禮拜時，我和那些創辦人碰過面
囉嗦	lousuō	It’s a long time	或者你也可以像我一樣，忽視這些囉嗦的規則
辭職	cízhí	resign	說："你是個偉大的指揮家。我們不要和你一起工作，請辭職。"
驚喜	jīngxǐ	surprise	我們有許多很棒的派對，上個月，他們為我舉辦了一個驚喜派對，
步調	bùdiào	pace	我們來看，我們將生命數位化的的步調不斷地
破案	pòàn	solve a case	百分之五十六的強爆案沒有破案。
打	dă	beat	他們會煮飯, 打掃, 買東西, 購物血拼, 蓋房子, 但是, 他們並沒有出現。
聖賢	shèngxián	Sages	使得我們可以像佛陀、聖賢一樣知天下事，像他們一樣大徹大悟。
改選	găixuăn	reelection	駭客無法駭進系統竄改選票
分離	fēnlí	separate	電位以互動的方式邏輯運作以及進行多路運算以及分離多路運算。
分解	fēnjiě	decompose	然後我加入擴散劑（註：部分專家認為擴散劑能加速石油揮發、分解）
富	fù	rich	來到深圳這裏，我只是想展現自己有賺更多錢的能力。 讓父母去嘗試到很富裕的感覺吧？
意識到	yìshìdào	Realize	我已經做了，大概兩百個苦差事，我一天到晚都意識到一些新東西
餘	yú	I	不具科技背景，不具生物學背景的業餘者運用了電玩，使他們可以用視覺去重新排列蛋白質的結構，
湧	yǒng	Chung	冰山。比這座建築物大很多很多倍的冰山咆哮洶湧的併入大海。
容量	róngliàng	capacity	因為這樣可以讓檔案容量大幅縮小，而這正是視網膜在進行的事
引導	yǐndăo	steer	另外科學家機器人已經可以自我引導的作出科學上的新發現，所以很快的
列	liè	column	（「你是我第一位以色列籍的朋友，我希望我們都可以廢掉那些愚蠢政客。總而言之，很高興見到你！」）
滲入	shènrù	infiltration	不過，這個病毒實際上卻在幾十年前就已經滲入人類社會
卓越	zhuóyuè	excellence	或很多我們有過的 -- 有一些卓越的 -- 有些卓越的球員
精緻	jīngzhì	exquisite	我們會把乾瘦的模特兒變得更瘦，完美的皮膚變得更精緻
提及	tíjí	mention	在《巴黎評論》對詹姆斯•鮑德溫（美國作家）的採訪中也有所提及
竊賊	qièzéi	thief	希望警察會趕來然後把竊賊抓走
注重	zhùzhòng	lay stress on	為什麼這樣注重安全，反而讓我們覺得越來越不安全？
體驗	tǐyàn	experience	好了，我們已經體驗了什麽是原原本本的翻譯。現在我們來體會一下什麽是“演繹”
血壓	xiěyā	Blood pressure	如果有個人身上出現腫塊，或是血壓不正常，他會去看醫生
預	yù	pre	他的願景是推動人類和機器合作，在預先設定的程式中允許彈性互賴，完成決策、控制複雜的狀況。
類型	lèixíng	type	能夠找到更多這類型的方式去使用它讓我感到很興奮。
批發	pīfā	wholesale	打通批發部分，當然我們知道這並不真實，
啟示	qǐshì	revelation	如果你需要一個啟示，如果大自然還不夠，如果你關心
廢墟	fèixū	ruin	可惜現在看起來像是廢墟一般，沒有人知道這當初的用途為何
鋒面	fēngmiàn	front	所以，當鋒面向馬累這邊移動過來的時候，
懦弱	nuòruò	cowardly	會覺得 「天啊，脆弱就等於懦弱。這就是懦弱？」
回合	huíhé	round	"給我們一首詩吧"(註：阿里在比賽前都會作詩，來預測第幾回合擊倒對手)
雙胞胎	shuāngbāo	twins	就是打電話給我的雙胞胎姊妹，我有一個和我長得一樣的姊妹，叫做凱利，
綱領	gānglǐng	Programme	這是世界銀行綱領所禁止的。
緊湊	jǐncòu	Compact	當我們在適宜的條件下將人口分佈安排得更加緊湊時，
魔術	móshù	magic	所以今天早上我心想，“噢，好吧！我就表演個紙牌魔術算了。“
壯麗	zhuànglì	glorious	這張照片是土衛六在被對太陽時被拍下來的，它的光環構成了一幅壯麗的背景。
虔誠	qiánchéng	reverent	我只好用最虔誠的態度,把進入(天國)的門票還給上帝。」
使勁	shǐjìn	Hard	就坐在那裡，腳使勁蹬著地，連續三個半分鐘，
酒店	jiŭdiàn	Hotel	如《六人行》、《歡樂一家親》、《歡樂酒店》和《歡樂單身派對》
空難	kōngnàn	Crash	像是發生概率極小的空難、食品中的致癌物、
恍惚	huănghū	trance	那是用作疼痛管理。 你會怕得要死 － 你會恍惚不定。
放鬆	fàngsōng	Just relax	白小姐：絕對沒錯。但是當愛鸚斯坦需要在她的工作之餘放鬆一點
凝結	níngjié	condense	累積、凝結以及沉澱礦物質的世界。
創作	chuàngzuò	creation	在這故事裡，創作者是收益分成的佃農。(佃農係指以部分濃產品當為租地資金的農民)
史料	shǐliào	historical data	這是一個留有文字史料的歐洲社會，
狹小	xiáxiăo	Narrow	順便說一句，我們所發現的這些行星，都位於我們身處的這個狹小空間之內，
外在	wàizài	extrinsic	去瞭解他自己跟這個世界— 不是只有外在的世界，更是看清自己
實	shí	TRUE	「天啊！終於！隨之而來的東西太多了，虛擬現實、神經操縱、夢幻仿真......神經編碼、記憶編輯、心理障礙治療，未來太美好了！」
指紋	zhǐwén	fingerprint	他們都有鼻病毒，其指紋卻跟實驗室的病毒株不同。
單親	dānqīn	Single parent	專為失業的鋼鐵業工人、單親媽媽和接受福利救濟的社福媽媽蓋的。
潺潺	chánchán	babble	廣大的森林和潺潺流水，而非下水道和排水溝？
救濟	jiùjì	relief	所以我和這群婦女做個交易。我告訴她們：『看，我們不需要別人的救濟，
淺薄	qiănbó	shallow	去尋求他們自己通常很淺薄的目的
延伸	yánshēn	extend	艾滋病藥物給全球有需要的人，包括我們暫時未能延伸到的地方
供給	gōnjǐ	supply	(免費提供給而兒童) 這不是因為可以用更低價買零組件 明白嗎？
贊助	zànzhù	sponsor	所以，也許贊助鞋的部分，讓它成為有史以來你穿過最好的鞋...
正規	zhèngguī	regularity	這不是正規的解釋方法，但這確實是他們之間的差異所在。
應急	yìngjí	Emergency	惡名昭彰的聯邦應急管理署平均要花
作風	zuòfēng	style	然後你必須想辦法與政府可能的官僚作風周旋，
景觀	jǐngguān	landscape	世貿中心對這個城市景觀所造成的影響，他們太過高大了。
地質	dìzhí	geology	然後，假若我們再加上像地質地圖、床岩地質地圖、
揍	zòu	beat	讓你看到你老公喝得醉醺醺的回到家時想痛揍他一頓。
公務	gōngwù	Business	這對公務機關來說真的很不尋常，因為他們太希望搭建這個平台了，
密集	mìjí	dense	如果我們，一個石化密集產業的公司可以達成，那每家公司都可以達成
溫習	wēnxí	Review	現在，我想要溫習電影版第一集
配給	pèigěi	ration	我們沒有資格享有藥物治療，沒有食物卷，沒有政府糧食配給，
使喚	shǐhuàn	order about	而且可以用想的去使喚它們
潛力	qiánlì	potential	所以我們有一個有潛力的模式，我們正在尋找的一個新浮現的模式
加薪	jiāxīn	Raise	因為你需要把加薪的工資存入你的養老金中。
徵收	zhēngshōu	levy	給碳訂個價錢，我們需要徵收二氧化碳的稅，但不增加整體稅賦，
懶散	lănsàn	Lazy	他看來十分優雅，但是又有一點懶散的感覺。
顯現	xiănxiàn	appear	我不必辛苦的去找尋靈感。它們應該會像魔法一般的自動顯現。
循環	xúnhuán	circulate	所以他們會經由這個循環作業，這就是為甚麼你會看到他們在那兒，
學科	xuékē	discipline	我是一個生物學家，而我們學科的中心主題是：設計的理論，
和睦	hémù	harmony	他們以前無法和睦相處，且他們的腦部掃描有同樣的模式圖像。
數據	shùjù	data	電腦需要統整各式各樣且大量的地理資訊、社群媒體的數據和救災團體的資料去回答這個問題。
轟轟烈烈	hōnghōngl	vigorous	要活得轟轟烈烈，
陸地	lùdì	land	陸地也只是那麼一點四處浮動的地盤——但對我們來說，它們卻有著深遠意義
力求	lìqiú	Strive	我們都力求找到發展的趨勢，適應氣候變化的要求，
列國	lièguó	Nations	她每天早上要踩過以色列國旗才能進入校門
遮	zhē	cover	像是我們真的有辦法遮蔽陽光，有效彌補大氣中過多的二氧化碳，
開闢	kāipì	inaugurate	一些人辭掉當下的工作，開闢了新的方向
霜	shuāng	frost	雪上加霜的還有，這些貧窮與災荒和疾病的惡性循環。
行星	xíngxīng	planet	這樣通過一段時間，這些推進馬達便可以輕微地、慢慢地將小行星推進另一個軌道，
片刻	piànkè	moment	你可以舒服的坐在那兒小歇片刻，品嘗幾顆漿果，
抗爭	kàngzhēng	Fight	變得極具傳染性的抗爭中，散播它，分享它，將它傳給別人。
商榷	shāngquè	discussion	這還有待商榷，
歷來	lìlái	always	比他非常薄弱的從政履歷來得重要
予	yŭ	I	如果每個人都應該跟別人不一樣的話，我們都在背負數十億人給予的沉重壓力，
持	chí	hold	但我們要談一下另一件醜聞，因為這個人，傑克·巴瑞，《亮閃閃》節目的主持人，
溫帶	wēndài	temperate	但它是一種溫帶動物，一種溫帶樹林生物。
淺顯	qiănxiăn	Simple	這是一個非常淺顯易懂的例子，很容易說明的機率問題，
支付	zhīfù	pay	但同樣我們在加油站加油時也不會因為這些而額外支付任何費用
收藏	shōucáng	collection	它最初的版本有著一個交叉的底部。這是收藏家所喜愛的。
拜會	bàihuì	Meets	舉利比亞的例子來說，在帳篷拜會格達費實在非常有趣。
之後	zhīhòu	afterwards	「這太嚇人了吧，要是他們幾年之後輕易在人身上實驗的話......我們完了！」
提倡	tíchàng	advocate	對於提倡小型模組化反應器的人來說，那是另一種處理方式
指責	zhǐzé	accuse	你所犯的錯誤與你所指責那些人犯的錯誤完全一樣，
誠摯	chéngzhì	Sincere	後來，我坐下來寫了一封很長的信並向這位女士致以最誠摯的歉意，
賽	sài	contest	"給我們一首詩吧"(註：阿里在比賽前都會作詩，來預測第幾回合擊倒對手)
蝴蝶	húdié	butterfly	帶到一個有蝴蝶結的小包裝裡，然後把它當成一節道德的課程交出來。
截	jié	cut	之後我的學生直接截取了我買的所有機器,用來做個人化的製造。
延遲	yánchí	Delay	那麼我們能對此做些什麽呢？噢，順便說一句，磁場倒置正在延遲——
謹慎	jǐnshèn	caution	但這也提醒我為什麼要像在蓋自己的房子時一樣謹慎小心
五金	wŭjīn	hardware	我一半的生命是花費了在附近的五金店.
追捕	zhuībŭ	Hunt	就在這個時候，兩個黑奴划船追上來了，一群追捕黑奴的人，他們正在追捕吉姆。
緊縮	jǐnsuō	deflate	如果處理不當， 還會是一股通貨緊縮壓力
統統	tǒngtǒng	All	你想要什麼角色在船上這裡統統有
萬歲	wànsuì	banzai	他們的安全套稱號大多是「萬歲」, 「活著」
議員	yìyuán	honourable	和市長們、市議員們一起工作的人民不是別人，正是他們的老街坊、老鄰居。
機動	jīdòng	mobile	它們同時並存 - 並且除了通過一個量子機動實驗之窄小孔道外
歹徒	dăitú	scoundrel	這讓他跟那些歹徒可以一起開個「壞人奧林匹克」
廢	fèi	Waste	（「你是我第一位以色列籍的朋友，我希望我們都可以廢掉那些愚蠢政客。總而言之，很高興見到你！」）
解剖	jiěpǒu	dissect	我們的數據累積得比山還高，解剖學、生理學和行為學的數據。
出息	chūxí	interest	應該選擇神經外科才比較有出息
原野	yuányě	field	學習能力變得更強。一群猿冒險進入了空曠原野。
機制	jīzhì	mechanism	我要強調一點，收費機制絕對可以讓我們的用路頻率一夕之間改變。
珍珠	zhēnzhū	pearl	它們的所在地建起了大大小小的公園，在加州北岸連成一片，就像一串珍珠。
內閣	nèigé	cabinet	總統說:"不知道. ” 內閣一半的成員第二天都去拜訪了這些阿嬤.
概括	gàiguā	wraparound	因此，概括地說，如果你看一下它，人們可以在一年內出售自己的土地
眼界	yănjiè	horizon	確實需要每天這麼辛苦的工作，這真的是讓我大開眼界。
敝	bì	tattered	您的要求實在有違敝公司的方針」
不肖	búxiào	unworthy	是因為少數不肖船東，
國營	guóyíng	State	國營電視台是設計來阻止人們得到資訊
眉毛	méimáo	eyebrow	眉毛為啥是那樣的？」我的意思是，這麼有衝擊力的作品。
猜想	cāixiăng	guess	我也不知道牠們到底是看到有一隻螃蟹，還是猜想那裡可能有螃蟹，
查明	chámíng	find out	身處在實驗室中，就為了查明這致命的病毒為何？
雨季	yŭjì	rainy season	看似頗具威脅性，就像雨季積聚的雨雲或雷電交加的暴風雨
撥	bō	dial	我們會加快速度的去做，不是嗎？如同我們過去播電話號碼;現在我們用快速撥號。
地勢	dìshì	terrain	大部分的結點是不可動的，如險峻的地勢
之類	zhīlèi	and so on	這個影片表現了自行複製,跟模型建構,如此之類可以從這件製作到別件東西的例子,
粉紅	fěnhóng	Pink	粉紅色、手指、手指、手指、手指、手指、手指、手指、手指
違約	wéiyuē	default	但是事實上違約率非常低。
肥料	féiliào	manure	政府還會補助，這也是為什麼農民總是用太多肥料的原因。
語文	yŭwén	Chinese	百萬年以來都如此進行，女人的工具就是言語文字。
尊	zūn	respect	第五個男人：...從我還是個小孩開始， （第六個男人：因此我們人類應該彼此尊重。）
修訂	xiūdìng	recension	所以當你看到某人在我的百科條目修訂了毫無道理的內容
美容院	měiróngy	beauty parlor	兩家美容院 兩家雜貨店 一間教堂 還有其他的
許可	xŭkě	permission	她回我：「那妳幫我向人體實驗審查委員會取得這研究的許可」
捆	kŭn	bundle	但是，科學實驗一直都與所有這些事情捆綁在一起。
強壯	qiángzhuà	strong	我希望有一天, 當我強壯一點的時候, 可以跟她見面。」
違背	wéibèi	disobey	如果你們設計的軟體違背了「聰明好用」這個最高指導原則，
寶貝	băobèi	Baby	像選美比賽候選人的媽媽一樣，每次寶貝答對一個問題就鼓掌。
耐力	nàilì	stamina	能在未來成為超級種族嗎？(一小時後 超級鼠耐力依舊...)
健壯	jiànzhuàng	robust	(健壯的野獸徵具吸引力且真誠的伴侶)
教員	jiàoyuán	teacher	我有一個學生，現在是名教員，
作物	zuòwù	crop	但是，我可以看著你們的眼睛，告訴你們，如果不能保存不同的作物品種，
古怪	gŭguài	eccentric	我們需要的不只是幾個像我一樣的古怪科學家在象牙塔中做研究，
一概	yígài	without exception	所以現在我從自己如何在七年前產生這一概念開始講起，
蝸牛	guāniú	snail	蠍子跟隨它們的獵物也離開大海，蛞蝓演變成蝸牛。
水蒸氣	shuǐzhēng	water vapour	而是水滾了之後、昇華成水蒸氣
繁忙	fánmáng	busy	這樣的方式比起在好萊塢繁忙的交通裡開車好多了
準	zhŭn	permit	雖然我輸了，不過那是最好的訓練，因為那是為參加亞特蘭大奧運所作的準備。
較量	jiàoliàng	Contest	我們必須在目標族群的面前與恐怖主義來較量
釋放	shìfàng	release	（注：比爾•蓋茨曾在科技精英會議上釋放蚊子，指出「不應只是窮人才會得瘧疾。」）
可望	kěwàng	Expected	然而我們可望在有生之年離開這顆星球。
須	xū	beard	以前你必須先問：「我可以這樣做嗎？」。在新的體系中，每個人都有創造、創新和分享的權利
多媒體	duōméitǐ	multimedia	所以很多媒體就會針對這些遊戲內容做出評論。
款	kuăn	fund	在瑞士銀行有著大量存款的所謂“社會主義者”，假惺惺的“解放者”，掠奪百姓的“菁英階層”
斯文	sīwén	polite	斯文在和烏爾裡卡•約翰遜親熱，就是當時與他關係曖昧的人。
健身	jiànshēn	Fitness	因為人們常說: 可怕的地獄朋友, 我沒有去健身
差額	chāé	difference	「但依然無法彌補差額」
發作	fājiàn	paroxysm	即是我們曾提及的是豬隻，所以我們就要讓這隻豬心臟病發作。
促	cù	urge	促使我們形成某種既定的行為方式？也許螞蟻把人腦當成了宿主，
福氣	fúqì	good luck	沒有什麼比這感覺更好的：有這樣的福氣及榮耀
畝	mŭ	acres	我們有半英畝的農場，用來養植任何東西。
不致	búzhì	Not	幾乎這些設計不只是小 它們也確保不致於變成核武擴散
連任	liánrèn	reappointment	在他第一任的任期結束後，又成功連任，
短暫	duănzhàn	Short	但我們對於外在世界的控制卻如此有限、短暫且常流於不切實際
恭維	gōngwéi	compliment	講到現在，你們大概也聽得出來我對美國農業部實在不敢恭維，
車輛	chēliàng	vehicle	而我們第三代車輛，應該有希望在三、四年後問世，價值約三萬美金。
保全	băoquán	save from damage	為了我自己，我的生命和其他工作人員的生命，我必須保全一些東西。
陷入	xiànrù	sink into	以至於我們不知道他們已經陷入困境，而知道的時候往往已經太晚了。
苦難	kŭnàn	misery	我說: 『怎樣才可以在這個充滿苦難的塵世活得快樂,
氣概	qìgài	Spirit	萬保龍先生在幾年前已退休了（譯註：萬寶龍曾在廣告中以牛仔強調自家商品的男子氣概）
盼	pàn	expect	如果他們幫手，那當然不錯！但是這不能成為我們的期盼。
掙扎	zhèngzhá	struggle	當居住在國家公園附近的人民正為了生存而苦苦掙扎時?"
心思	xīnsī	thinking	其中一個你指派的工作是需要使用心思的技巧，有風味的技巧
火焰	huǒyàn	flame	實際上,我的世界裡,好多東西在火焰的陪襯下就不錯,
重鎮	zhòngzhèn	Town	那裡並不是南半球主要的文化重鎮
人禍	rénhuò	Man-made disasters	也許另一個偉大的宇宙計劃將實現,所以會有可怕的天災人禍,
持久	chíjiŭ	lasting	一起做這件既長期、可持久，也很積極正面的事。
下水	xiàshuǐ	offal	船上有一個年輕人是急診醫師，他跳下水企圖幫助我
致意	zhìyì	Compliments	或者在公共空間工作的歌迷們，會揮手致意
隱藏	yǐncáng	hide	“我的親愛的，這種感覺我一點也無法隱瞞，無法隱藏，無法隱藏。”
散文	sănwén	prose	其中，散文家寫道：“在一切事物中，
技藝	jìyì	Skills	存在了這麼久的技藝，就只有「摺」這個動作，
挪	nuó	move	該挪出個位子，與他在一個相親相愛的家庭裡分享生命的喜悅。」
錫	xí	tin	但是當然，錫克民族給你的工作也許毫不費勁，可猶太民族的變難了。
妥當	tuǒdāng	Suitable	因為我們沒有讓我們的小孩子在生命中得到妥當的起步。
總經理	zǒngjīnglǐ	managing director	我們拜訪了，我拜訪了一百、兩百位大企業執行長，業務總經理，
名聲	míngshēn	fame	很有名聲——一陣子他在洛杉磯的名望就是靠“不漏水”得來的。
隨	suí	follow	「天啊！終於！隨之而來的東西太多了，虛擬現實、神經操縱、夢幻仿真......神經編碼、記憶編輯、心理障礙治療，未來太美好了！」
限度	xiàndù	limit	對我們來說，要把潛在變因維持在最低限度是很困難的
幅度	fúdù	amplitude	曲線幅度之所以越來越大，是因為接近地面的石油漸漸挖光了
質量	zhíliàng	quality	這是很巨大的質量。也因為它,恆星在星系中,沿著圓形軌道在運動
花樣	huāyàng	Pattern	(不真誠有害無益) 我們想玩一些新花樣
簡稱	jiănchēng	abbreviation	托德•麥克弗（以下簡稱托德）：你能來這裡，我們真的也很激動。（掌聲）
特徵	tèzhēng	features	這圖譜上放的條件是你從小到大無意識間慢慢建立起來的一張特徵清單。
改編	găibiān	adapt	「中國在喝我們的奶昔嗎？」（改編自電影《黑金企業》的經典台詞）
解答	jiědá	answer	並不是以一般嚴謹死板的方法來解答這個問題，而是直接建造一個結構模型。
悠久	yōujiŭ	Long	而當我環顧四周時，我看到的一切都僅是一段悠久故事的開端。
生物	shēngwù	creature	不具科技背景，不具生物學背景的業餘者運用了電玩，使他們可以用視覺去重新排列蛋白質的結構，
峽谷	xiágŭ	gorge	以及瀑布。它還能形成峽谷，大型盆地，以及凹地。
裝備	zhuāngbèi	equip	這個電影裏有這麽幾件事要注意：這裡你所看到的每一件裝備
官司	guānsī	lawsuit	當然也導致了官司訴訟。（以上例子影射微軟公司）
塑膠	sùjiāo	plastics	威廉：我用了一台腳踏車的車架，一台滑車、還有塑膠管，用來拉...
竟然	jìngrán	unexpectedly	我們可能會說，「神奇！一個多麼聰明的傢伙竟然得到這個低的結果」，
堂堂	tángtáng	Don’t do it	就無法堂堂正正地享受歡樂、心安，就無法充滿想像力；
纖維	xiānwéi	fibre	好啦，現在我們看到的這些就是我的短跑腿，是碳纖維做成的，
安裝	ānzhuāng	Installation	有了這樣的資本，太陽城就能買更多安裝在屋頂的太陽能板。
避難	bìnàn	refuge	每個人都在找可以避難的地方，我們也不知道可以躲到哪裡去。
配	pèi	match	我們超乎常人所能的旅行個不停 -- 我們配合所有行程。不知道我們如何做到的。
登陸	dēnglù	landing	或是登陸月球, 或是人類其他重大歷史事件對世界的發展有重大的影響,
中庸	zhōngyōng	mean	我們猶太教則一直傳達中庸之道的必然存在。
不下	búxià	No, I don’t	她有一個很大的結婚戒指，我戴在自己手上一試，結果摘不下來了。
簡便	jiănbiàn	Simple	另一個簡便的作法 -- 這裡我將簡單地敘述帶過
廉價	liánjià	Cheap	不是不計成本,而是有效地,廉價的計畫.而這樣的計畫已經存在了,
摧殘	cuīcán	Destroy	這也包含我媽媽的家，在圖片的上方就是被摧殘後的摸樣
兩口子	liăngkǒuzi	Couple	我們這一家和三個小孩和兩口子.
陡	dǒu	steep	這通常會在黑夜中完成，因為跟接下來比這算是比較不那麼陡峭的，
銀色	yínsè	argent	停在了裡面有銀色巨大的加農炮的車庫前
執政	zhízhèng	Ruling	但是現在來看在小布希和歐巴馬執政下發生了什麼事。
生前	shēngqián	before life	這個損害本身是持續性地發生，在我們出生前就已開始。
局部	júbù	part	螞蟻可能使用的方法，一定是簡單、局部、嗅覺或化學之類的法則，
進展	jìnzhăn	progress	所以你可以讀成「建築在進展中」(法文於此，形容詞放在名詞後)
威力	wēilì	power	形狀的威力：這是一隻鯨魚。我們看到這隻鯨魚的鰭上
縫	fèng	sew	靈感來自倫敦地鐵（他們提醒乘客“小心列車與站台間的縫隙”）
長子	zhàngzǐ	Eldest son	我父母共有五個子女，我是長子，其他四人是女生
解脫	jiětuō	extrication	所以, 去發現這世界沒有聖誕老人, 也許也是一種解脫。
塞車	sāichē	traffic jam	來看看最後一個例子，為塞車訂個價錢，倫敦已經成功做到了，
水庫	shuǐkù	reservoir	後來他們建了亞斯望水庫，每個人家裡都有電力，
社交	shèjiāo	socializing	也才能學到一些社交互動技巧，包含認知、情感及身體上的技巧，
化石	huàshí	fossil	而在懸崖底部，恐龍的化石稀少的像母雞的牙齒一樣，幾乎不存在
洞穴	dòngxuè	cave	或是西歐洞穴中軟泥上的舞步, 那是在歐里納克（譯按：舊石器時代晚期〕時期，約莫三萬五千年前，或甚至更早
外力	wàilì	external force	經過一段時間之後，他們可以在不依靠外力的幫助下自行負擔的起農業風災險
燈籠	dēnglóng	lantern	這是錫諾普的第歐根尼 (古希臘哲學家) 與他的燈籠
配音	pèiyīn	dub	配音：「做個超級英雄就是這麼回事」
鈣	gài	calcium	便是從濃鹽水中累積像鈣、鉀和鎂的一樣的金屬。
整	zhěng	whole	這就是我們所面對的情況。我們身處於一個對完整性、責任和透明化的基本保護都被完全捨棄的狀況。
轉移	zhuănyí	transfer	無論工作手冊寫得多詳細，你還是無法把你所知的全部轉移給對方，或在某種情況下你會有的直覺反應
外資	wàizī	foreign capital	體系漸漸穩固, 吸引更多外資
加緊	jiājǐn	Stepping up	當我們在適宜的條件下將人口分佈安排得更加緊湊時，
執照	zhízhào	licence	而核發了一張飛行執照 - 一種動力升降機的飛行執照。
處事	chŭshì	do everything	就是無論是生活或做人處事，我們都有很多選擇
生效	shēngxiào	take effect	達爾文式進 化是異乎緩慢的，它大概需要幾千年的時間來產生效用。
俗語	súyŭ	colloquialism	我們都知道這是必然的，儘管如此，有句古老的阿拉伯俗語：
裝潢	zhuānghu	Decoration	但食物卻比不上店裡的這些裝潢擺飾，所以餐館算是失敗了
變革	biàngé	change	所以，社會生產是一個實實在在的變革，它不是轉眼即逝的潮流
洩氣	xièqì	Discouraged	放到如何緊縮營運費用那些使人洩氣的目標
依據	yījù	Basis	尼佛森之鷹給了漢密特靈感，讓漢密特有了描述馬爾他之鷹的依據
半島	bàndăo	peninsula	所有的事情都在半島中部（借指舊金山地區）熱火朝天地進行著。
連帶	liándài	Joint	把醫學知識, 連帶著醫療能量, 都民主化了
蒸	zhēng	steam	看見一股蒸汽從地下冒出來，然後我就想：『這是什麼造成的呢？』而這個……
流域	liúyù	drainage basin	不錯!那時田納西河流域管理局是面臨一些困境.
電力	diànlì	electricity	如果你借我你的灣流噴射機，我將把它機翼拆下來，然後給你一百萬瓦的電力。
實習	shíxí	exercitation	我几乎可以確認我會被踢出白宮實習生的行列,
沐浴	mùyù	bath	沐浴愛河時，我們嚮往擁有，我們希望瞭解摯愛的那個人。
銀子	yínzi	silver	這些參賽者會花大把銀子
